Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
map1b,4.782580047,0.661182801,1.043506179,0.633616565,0.526331088,NA
LOC107384220,1.11072984,-0.456829791,1.255763932,-0.363786361,0.716017548,NA
LOC107383363,3.162336276,-0.833865911,1.02468007,-0.813781721,0.415770008,NA
LOC107376910,17.30558749,-1.526327166,0.784806494,-1.944845229,0.051793609,0.37777286
LOC107374804,166.7227654,0.047891296,1.021800573,0.046869514,0.962617226,0.994887278
snapc2,36.3603825,-0.373227707,0.372049463,-1.0031669,0.315780341,0.721253044
xpc,82.42882476,-0.006796398,0.528429983,-0.012861493,0.989738297,0.998513721
LOC107383215,8.690348914,-0.446066521,0.963955395,-0.462746018,0.643546429,0.899390785
LOC107376411,5.32485969,-0.51165915,0.903448093,-0.566340395,0.571162405,NA
LOC107391566,19.09645179,-0.242856832,0.473164924,-0.51326043,0.60776916,0.886154186
fkbp8,965.8849905,0.11465749,0.179630359,0.638296837,0.52328047,0.851456067
tcf24,1.517216397,-0.146397061,1.294119331,-0.113124855,0.90993157,NA
xylt1,1.534815138,-0.709437955,1.242905312,-0.570790026,0.568141985,NA
prosc,203.6196134,-0.040479837,0.25629676,-0.157941275,0.874503073,0.971827852
LOC107372636,10.3227697,-0.189017132,0.660654293,-0.286105961,0.774796966,0.944119931
LOC107374113,1.710952707,-1.888271213,1.199534566,-1.574169903,0.115448175,NA
fbf1,1615.60979,0.576307341,0.430290329,1.339345328,0.180458279,0.602358807
smpd1,319.35914,0.122579256,0.324458861,0.377795989,0.705582154,0.922938346
LOC107380518,1466.248059,-0.178475478,0.183885345,-0.970580216,0.331757362,0.734031037
asb6,39.91629196,-0.042952512,0.462474266,-0.092875464,0.926002499,0.986094436
LOC107377795,40.23426128,0.375981343,0.528408618,0.711535221,0.476752633,0.826011609
msh4,2.989130242,-0.196801875,0.999326695,-0.196934472,0.843878817,NA
LOC107393933,294.3793197,-0.235864025,0.485915547,-0.485401272,0.62739173,0.893572495
scrib,32.24068704,0.796763018,0.536736112,1.484459495,0.137687061,0.552969633
tmem150a,562.1180291,-0.025698237,0.234196354,-0.109729451,0.912623943,0.981456128
tbr1,17.80029676,-0.000724153,0.869042247,-0.000833277,0.999335141,0.999785621
LOC107386324,18.20130361,0.13377865,0.529252761,0.252768922,0.800446785,0.952901789
LOC107387684,2.463240212,-0.145845172,1.263239989,-0.115453258,0.908085868,NA
LOC107382422,33.13314124,0.453070404,0.511494502,0.885777661,0.37573735,0.76277165
wapl,356.3401325,0.124811281,0.325614707,0.383309716,0.701490136,0.92164733
LOC107391087,170.8721037,0.105371597,0.4133356,0.254929884,0.798777255,0.952363736
LOC107396389,1.684851319,0.08482412,1.121366113,0.075643555,0.939702683,NA
LOC107392981,751.3239852,0.619340576,0.264294864,2.343369699,0.019110436,0.255123586
LOC107381637,15.87845441,1.254656102,0.468809615,2.676259321,0.007444902,0.17032027
LOC107390763,201.469326,-0.210921431,0.23981021,-0.879534826,0.379111359,0.766151966
pfdn4,1014.239576,0.496310551,0.217627994,2.280545543,0.022575353,0.273642348
LOC107381212,1.165221503,-0.14648005,1.298820968,-0.112779247,0.910205572,NA
LOC107372747,20.96657857,-1.246130749,0.482839606,-2.58083789,0.009856085,0.191366496
