Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC107394473,39.81703671,-0.195695683,0.319254681,-0.612976705,0.539891743,0.96357149
bloc1s3,649.3952098,-0.546212647,0.310213513,-1.760763554,0.078278431,0.697951094
asic4,1.787405471,0.278286664,1.123992914,0.247587561,0.804453536,NA
chmp5,119.1895743,-0.227601584,0.392826237,-0.579395066,0.562322632,0.967627746
b4galt2,15.59135121,-0.52124265,0.554520827,-0.939987507,0.347223969,0.938540329
LOC107377728,366.1327777,-0.272593504,0.202500076,-1.346140253,0.178257289,0.847236203
LOC107374971,12.98454936,-0.464648339,0.765784942,-0.606760872,0.544009619,0.965341677
LOC107384853,246.9542979,-0.054727467,0.278852258,-0.196259722,0.844406885,0.995674824
LOC107381177,1643.649218,-0.11183111,0.245405917,-0.455698508,0.648606795,0.979345588
cep170b,176.6824522,0.495263674,0.3605573,1.373606008,0.169564031,0.838831789
hibadh,110.8879643,0.366413226,0.62485501,0.586397196,0.557608628,0.967274508
cacnb1,9.953297371,0.860339562,0.563714211,1.526198107,0.126960535,0.787430641
fam189b,8.995756799,-0.608548609,0.725060197,-0.839307704,0.401296661,0.948114291
LOC107395225,223.7112722,-0.103973333,0.43939308,-0.236629428,0.812944288,0.992019213
dbnl,770.3932434,-0.14174431,0.220657993,-0.642371062,0.520632284,0.963051255
LOC107372739,1.941491409,0.848581992,1.087356028,0.780408597,0.435150409,NA
LOC107373759,1.102424987,-0.420574409,1.256564288,-0.334701864,0.737849995,NA
LOC107397116,331.0278901,-0.201332286,0.243122285,-0.828111198,0.407607528,0.951546301
pdhb,3540.664835,0.216913211,0.247771122,0.875457999,0.381324754,0.945543528
sema3c,13.65447251,0.916356549,0.620869975,1.475923439,0.139964446,0.806869765
pknox2,4.788643365,0.284955115,0.929966674,0.306414329,0.759289199,0.984567327
LOC107388656,1.963266647,-0.382743119,1.073321978,-0.35659674,0.721393718,NA
LOC107389228,19.88590218,-0.516533779,0.582957397,-0.886057509,0.375586539,0.945135121
LOC107385936,103.9465613,1.223638916,0.405247648,3.019484311,0.002532054,0.19524858
LOC107394933,24879.24449,0.738303475,0.294649547,2.50570036,0.012220914,0.387960003
parp2,199.5160115,0.122572914,0.279770757,0.438119105,0.661299946,0.981187401
LOC107386469,98.26677265,-0.909840281,0.45638203,-1.99359357,0.046196489,0.605386063
LOC107380722,53.51015237,0.565441544,0.594446661,0.951206528,0.341499545,0.937419285
LOC107381340,1.795320097,-0.043419201,1.063605817,-0.040822644,0.967437287,NA
slc35e4,67.94612338,-0.209281525,0.456709854,-0.458237375,0.646781911,0.979345588
LOC107393363,406.7775938,-0.204886482,0.561607771,-0.364821309,0.715244798,0.981697321
LOC107386417,8804.89051,-0.668884022,0.32995848,-2.027176334,0.042644382,0.587088657
LOC107395578,7.346418821,-0.259320813,0.617201413,-0.420155897,0.674371571,0.981697321
LOC107395941,4.925353852,-0.006947685,0.972105217,-0.00714705,0.994297528,0.999497929
LOC107386730,1.276250348,-0.702784659,1.220258479,-0.575930978,0.564661836,NA
gtf2e2,880.7091826,-0.233687018,0.243264011,-0.960631279,0.336737596,0.93434308
LOC107376135,2.968444377,-0.378152478,0.954121229,-0.396335881,0.691857261,NA
LOC107395042,297.3926416,-0.066495044,0.236231941,-0.281482019,0.778340717,0.986806733
LOC107390586,729.7409984,-0.573516599,0.609160891,-0.941486243,0.346455736,0.938243503
gemin2,570.0420585,-0.124450139,0.215567192,-0.577314843,0.563726788,0.967672915
LOC107383628,13.89639778,0.339264213,0.631665606,0.537094643,0.591202241,0.970368434
LOC107385132,337.1312055,-0.039583314,0.249893463,-0.15840076,0.874141015,0.99821504
obfc1,292.9725668,-0.412788386,0.214866165,-1.921141872,0.054713824,0.635705024
hdgf,884.7404572,-0.155366835,0.195289661,-0.79557123,0.426281294,0.954758105
cobl,1256.20815,0.232283927,0.280338935,0.828582468,0.407340712,0.951546301
kif6,2.582861159,0.93378884,1.064876678,0.876898573,0.380541731,NA
LOC107393942,1909.938762,0.014924238,0.306706182,0.048659724,0.961190473,0.999497929
LOC107381442,718.2296391,-0.073426987,0.368649385,-0.199178379,0.842123212,0.995674824
LOC107389261,265.032897,0.430344131,0.21192614,2.030632614,0.042292277,0.587088657
LOC107382179,1.501301222,0.8292605,1.211008976,0.684768252,0.493490172,NA
LOC107397227,10.50297811,-0.814296098,0.720183777,-1.130678202,0.258190559,0.890657501
hspa4l,43.44803009,-0.651143442,0.662619985,-0.982680054,0.325764931,0.931005306
LOC107385396,3.185426963,-1.07625362,0.823317284,-1.307216113,0.191139325,NA
fam65c,63.88119467,-0.163327491,0.399101128,-0.40923836,0.682364746,0.981697321
acbd3,2307.663498,0.139837108,0.551964707,0.253344291,0.800002173,0.990859142
LOC107396282,3103.604608,0.041593852,0.264225222,0.157418174,0.874915291,0.99821504
LOC107376169,1.163893041,0.494886167,1.231761939,0.401770952,0.687852602,NA
LOC107396897,3.564557953,1.756692379,0.877273029,2.002446584,0.045236723,0.599504907
LOC107373898,1.317712171,0.534290818,1.225088877,0.436124128,0.662746672,NA
LOC107395365,4.7393104,0.681231386,0.782933774,0.870100906,0.384245262,0.945998993
LOC107395070,3.336888133,-0.103541928,1.362168347,-0.076012578,0.939409091,0.999054741
LOC107388868,3.443081326,0.168028797,0.976769029,0.172025107,0.863417791,0.99795455
LOC107375776,1.290131276,-1.109234055,1.208667797,-0.917732778,0.358758783,NA
pop1,167.4132231,0.166344383,0.362872017,0.458410613,0.646657469,0.979345588
LOC107393047,1.305981477,-0.105138041,1.302720271,-0.080706536,0.935675339,NA
LOC107383828,292.6529695,-0.374690006,0.376362559,-0.995556007,0.319465919,0.928577083
LOC107383883,2.371854757,0.190010982,0.931789573,0.203920485,0.838415637,NA
LOC107392881,10.01915855,-1.535793209,0.889668487,-1.726253353,0.084301843,0.710475421
rpusd1,249.7110801,-0.046910245,0.316588065,-0.148174395,0.882205138,0.99821504
LOC107373936,24.38376678,-0.417571178,0.550342898,-0.758747283,0.448003746,0.957684192
cd82,90.50949236,0.238410247,0.339496367,0.702246826,0.482525248,0.96123409
LOC107382809,707.5799676,-0.297241644,0.211042489,-1.408444556,0.158999474,0.825338867
ace,582.8367853,-0.372089844,0.470091025,-0.791527225,0.428636395,0.955165855
ppcs,760.4481832,-0.513433355,0.321786133,-1.595573277,0.110584098,0.763581473
LOC107382174,7.626107806,-0.004431451,0.825349881,-0.005369179,0.995716036,0.999497929
LOC107385012,78.0900944,0.341328487,0.474877205,0.718772103,0.472281349,0.961182117
LOC107376220,878.21967,-0.334649567,0.526514609,-0.635594077,0.525041031,0.963051255
reln,182.0156666,0.173970592,0.279596093,0.622221113,0.533796485,0.963051255
LOC107379077,141.7466425,-0.07501356,0.382051414,-0.19634415,0.844340807,0.995674824
elac2,675.5953129,0.056659475,0.350280296,0.161754675,0.871499047,0.99821504
pla2r1,15.29061303,0.993494005,0.79734146,1.24600821,0.212761381,0.871491063
gripap1,245.0682888,0.283030678,0.333670851,0.848233154,0.396308137,0.946380249
LOC107384374,581.3764406,0.306741738,0.235217717,1.30407582,0.192207732,0.851032788
