Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
myo1d,17.10047502,-0.874904692,0.592865569,-1.475721881,0.140018569,0.406044706
heg1,156.1002463,0.159409455,0.263636922,0.604655274,0.545408072,0.797697099
dnajc13,303.4199167,-0.246227302,0.299277188,-0.822739963,0.410655885,0.708134898
LOC107388958,220.3746258,0.844998416,0.366850663,2.303385278,0.021257175,0.123085684
sftpb,2146.143949,-2.574285461,0.752464244,-3.421139917,0.000623592,0.009196976
LOC107393833,4.956082406,1.158865019,0.796020833,1.455822474,0.145441701,0.415449727
plxnc1,53.00670365,-2.20474534,1.199404361,-1.838200204,0.06603291,0.258247519
cdca8,101.434204,-0.722673187,0.589291658,-1.226342128,0.220069954,0.51930039
LOC107377448,5.618035142,-0.07315651,0.789185321,-0.092698772,0.926142873,0.974125383
ikzf4,87.06603592,-0.399903534,0.31169675,-1.282989103,0.199495894,0.495234049
LOC107380237,1.276250348,-0.767961996,1.227294888,-0.625735513,0.531488436,NA
nr2f1,322.161585,-0.370453404,0.286777216,-1.291781158,0.196432942,0.490542408
LOC107383803,15.06898547,-2.124106342,1.078276505,-1.969908769,0.048848827,0.213914472
chrna1,22.21842025,-0.532614694,0.480223542,-1.109097426,0.267388155,0.574012616
tsku,19247.16526,-0.689175772,0.225796538,-3.052198139,0.002271721,0.024643086
LOC107384230,4.647808469,-2.681652591,1.02975212,-2.604172925,0.009209628,0.069377668
LOC107394910,229.5766527,-0.289240804,0.373684511,-0.774024065,0.43891656,0.730470925
LOC107390154,6317.296039,-0.71778873,0.378298491,-1.897413676,0.057773362,0.237498188
LOC107383764,4741.731132,-0.14986764,0.269296978,-0.556514377,0.577859269,0.816716157
LOC107391096,28.94534227,-0.072002233,0.465385795,-0.154715149,0.877045886,0.95521931
jam3,38.76622783,1.104082269,0.614339294,1.797186473,0.072306021,0.273423602
LOC107376900,2.435304918,0.182521281,1.144325606,0.159501177,0.873274031,NA
shf,189.2024385,-1.927462463,0.361570389,-5.330808392,9.78E-08,5.68E-06
LOC107388857,85.23415101,-0.27233153,0.415554255,-0.655345305,0.512245457,0.777698861
LOC107389969,1.557612463,-0.827550673,1.201560792,-0.688729758,0.490993346,NA
LOC107392810,545.8508405,0.104180201,0.235878742,0.441668463,0.658729134,0.860227933
LOC107385351,49.82481147,0.156855425,0.560896643,0.279651211,0.779745114,0.917584939
pcdh17,42.04582237,0.869225417,0.588050468,1.478147649,0.139368263,0.405591241
LOC107392189,1.416064198,-0.238177488,1.304683759,-0.182555724,0.855146628,NA
tnip2,417.7679512,-2.848225324,1.260894185,-2.258893219,0.023890028,0.13299075
chfr,1276.002328,0.141864065,0.396121483,0.358132723,0.720243992,0.891109446
kcnj10,29.63460738,0.326151084,0.454458043,0.717670397,0.47296054,0.753568311
LOC107379852,3.611077189,0.483652669,0.862931887,0.560476066,0.575154761,0.815021853
cept1,617.2158283,-0.416983627,0.293578059,-1.420350103,0.155505781,0.430328975
LOC107386695,4.227519399,0.701374591,0.935547482,0.749694276,0.453438856,0.739187512
LOC107388619,6.818916301,-0.686596412,0.864433159,-0.794273571,0.427036187,0.719982139
LOC107394473,39.81703671,0.148108416,0.325859476,0.454516217,0.649457323,0.855655522
bloc1s3,649.3952098,-0.010369679,0.310877904,-0.033356113,0.973390607,0.990424435
asic4,1.787405471,-0.613846623,1.059409071,-0.579423605,0.56230338,NA
chmp5,119.1895743,-0.676865349,0.391804147,-1.727560451,0.084067059,0.29980161
b4galt2,15.59135121,0.71894277,0.586785457,1.225222544,0.220491383,0.51986833
LOC107377728,366.1327777,-0.09932429,0.20333095,-0.48848584,0.625205753,0.843542626
LOC107374971,12.98454936,1.220153107,0.804799133,1.516096448,0.129494966,0.388531862
LOC107384853,246.9542979,0.392046977,0.28056,1.397373026,0.162301426,0.439965238
LOC107381177,1643.649218,-0.730272132,0.245205098,-2.978209416,0.002899378,0.029321713
cep170b,176.6824522,-0.017701461,0.359507137,-0.049238134,0.960729521,0.985682865
hibadh,110.8879643,0.659813264,0.626132403,1.053791915,0.291978196,0.599571286
cacnb1,9.953297371,1.387979277,0.592310498,2.343330537,0.019112442,0.114614071
fam189b,8.995756799,-0.224948667,0.739614853,-0.304142982,0.761018962,0.910093454
LOC107395225,223.7112722,-0.934145991,0.437906452,-2.133209013,0.032907584,0.165236427
dbnl,770.3932434,0.023878244,0.220998889,0.108046897,0.913958492,0.969895628
LOC107372739,1.941491409,1.737535442,1.202772693,1.444608322,0.148567934,NA
LOC107373759,1.102424987,-0.238143623,1.296557128,-0.183673837,0.854269335,NA
LOC107397116,331.0278901,0.17608968,0.244333618,0.720693621,0.471098038,0.751919479
pdhb,3540.664835,0.480371115,0.247862804,1.938052453,0.052616823,0.224371669
sema3c,13.65447251,0.806409496,0.621997222,1.29648408,0.194808761,0.488825511
pknox2,4.788643365,1.681112922,1.023723993,1.642154461,0.100557997,0.332872803
LOC107388656,1.963266647,-0.124327456,1.104200009,-0.112595051,0.910351609,NA
LOC107389228,19.88590218,-0.044399509,0.591807351,-0.075023585,0.940195947,0.978800077
LOC107385936,103.9465613,-1.523590752,0.3894104,-3.91255794,9.13E-05,0.001929477
LOC107394933,24879.24449,-0.093301582,0.294629356,-0.316674424,0.751490657,0.905351271
parp2,199.5160115,-0.040766392,0.279728009,-0.145735825,0.884129939,0.958282092
LOC107386469,98.26677265,0.038471066,0.461263686,0.08340363,0.933530602,0.976849439
LOC107380722,53.51015237,0.478978576,0.594870681,0.80518101,0.420715233,0.715030941
LOC107381340,1.795320097,-0.153353479,1.066027617,-0.143855071,0.885614915,NA
slc35e4,67.94612338,-0.470649004,0.456074408,-1.031956618,0.302092441,0.609755571
LOC107393363,406.7775938,-1.746667721,0.560523884,-3.116134338,0.001832388,0.020861207
LOC107386417,8804.89051,-1.10698564,0.32994261,-3.355085422,0.000793405,0.011149393
LOC107395578,7.346418821,0.124348396,0.641428,0.193861814,0.846284084,0.944028059
LOC107395941,4.925353852,-0.879071671,0.941693054,-0.933501279,0.35056121,0.656461552
LOC107386730,1.276250348,-0.767961996,1.227294888,-0.625735513,0.531488436,NA
gtf2e2,880.7091826,-0.195004176,0.243422116,-0.801094737,0.423076803,0.717070387
LOC107376135,2.968444377,0.364383687,1.018486107,0.357769914,0.720515508,0.891141976
LOC107395042,297.3926416,0.053232204,0.23692388,0.224680617,0.822227744,0.934672361
LOC107390586,729.7409984,0.322185425,0.609969001,0.52819967,0.597360758,0.82753504
gemin2,570.0420585,-0.111932759,0.215801852,-0.518683032,0.603981796,0.831066339
LOC107383628,13.89639778,0.75420309,0.643086329,1.172786695,0.240881355,0.543838745
LOC107385132,337.1312055,-0.522794636,0.249196833,-2.097918461,0.035912349,0.175584036
obfc1,292.9725668,-0.207976035,0.215873799,-0.963414901,0.335339352,0.643142473
