"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"LOC107374419"	187.991789583114	-0.0167098672060023	0.283217104921548	-0.0590002048450815	0.952951944954895	0.988575359736925
"efhb"	8.50924379648253	0.161757343316274	0.919447813562495	0.175928792184005	0.86034988523328	0.968142049202991
"LOC107377600"	1.34548822575054	0.886640742524176	1.16763239411325	0.759349215553006	0.447643684089927	NA
"cobll1"	2011.79592074556	0.874679673023361	0.228369247502391	3.83011146461042	0.000128085226221021	0.00409226528171379
"LOC107378521"	1.57144749923395	-1.80118501725674	1.19545248529044	-1.50669728777981	0.131888267088827	NA
"tpt1"	4347.11633287921	-0.204599244670109	0.244929561598389	-0.835339120908526	0.403526796637008	0.789075557782027
"LOC107383946"	2.18620171390563	0.144863977285294	1.13681975014569	0.127429152481497	0.898600743971044	NA
"LOC107387820"	7.91721841517921	-1.32251275051727	0.96569723061153	-1.36949005194908	0.1708461423287	0.566966922701893
"LOC107390117"	3.86310872454888	-1.30270251671064	0.960277885910772	-1.35658910386663	0.174911805837217	0.57260612529089
"ano7p1"	1.1675221538198	0.308064440195134	1.230498418649	0.250357445020829	0.802310935804392	NA
"LOC107377085"	3.35120709661535	-0.189280769386257	0.91927174902346	-0.205902954798002	0.836866717310234	0.962687028546174
"fhl3"	267.560721884096	0.133619152068345	0.289262799206309	0.461929955856661	0.644131551253879	0.899182657216857
"LOC107386288"	10.3154089553539	1.93582423854415	0.678269600318563	2.85406310062393	0.00431639569630746	0.0634223603793983
"LOC107394983"	76.9592892475019	0.62253999541399	0.427749674516304	1.4553839137761	0.145563007246515	0.529027104836073
"LOC107376895"	399.004853150562	-0.236082761375595	0.284600282564253	-0.829523987989349	0.406807968756243	0.790765294415378
"rab11fip1"	401.855015833293	0.416677788913996	0.263110977327282	1.58365794216063	0.113271580580851	0.466124777642063
"csgr11h5orf15"	2064.17931605357	0.341309606130124	0.28854272555608	1.18287371643957	0.236859199727651	0.649347960297869
